date,age,All Sexes,Female,Male
2020-01-31,All Ages,0,0,0
2020-02-29,All Ages,0,0,0
2020-03-31,All Ages,21,10,11
2020-04-30,All Ages,78,31,47
2020-05-31,All Ages,35,15,20
2020-06-30,All Ages,16,NA,13
2020-07-31,All Ages,91,27,64
2020-08-31,All Ages,197,84,113
2020-09-30,All Ages,233,94,139
2020-10-31,All Ages,173,79,94
2020-11-30,All Ages,342,144,198
2020-12-31,All Ages,436,179,257
2021-01-31,All Ages,244,121,123
2021-02-28,All Ages,131,62,69
2021-03-31,All Ages,68,37,31
2021-04-30,All Ages,195,84,111
2021-05-31,All Ages,170,73,97
2021-06-12,All Ages,NA,0,NA
